,title,author,pubyear,first_published,txtype
418,Pověsti vyšehradské,"Bilianová, Popelka",2006,1905,COL
419,Moudrá sova Rozárka,"Pospíšilová, Zuzana",2006,2006,COL
420,Vánoce starého velblouda a další povídky,"Noelová, Marie",2006,2006,COL
421,Únos Mildred Hawkinsové,"Kostiha, Vladimír",2006,2006,COL
422,Bažanti na dubech,"Komenda, Stanislav",2007,2007,COL
423,Výprava na Zemi,"Clarke, Arthur C.",2007,2007,COL
424,Možná že odcházíme,"Balabán, Jan",2007,2004,COL
425,Oheň tajemství,"Neužilová, Marcela",2007,2007,COL
426,"Pane faráři, já vás budu muset zabít!","Barhoň, Jiří",2007,2007,COL
427,Sex pro golfisty,"Heid, Klaus",2007,2007,COL
428,Sex pro řidiče,"Seewaldt, Patrick",2007,2007,COL
429,Filozofická a pedagogická antropologie,"Pelcová, Naděžda",2000,2000,SCI
430,Minimum bontonu,"Poberová, Slávka - Poberová, Jesika",1996,1996,POP
431,"Hroby, hrobky a mumie","Bahn, Paul G. (ed.)",1997,1997,POP
432,Řecké mýty,"Burnová, Lucilla",1999,1999,POP
433,Ty boty musím mít!,"Jacobbi, Paola",2008,2008,POP
434,Obraz člověka a přírody v zrcadle biologie,"Komárek, Stanislav",2008,2008,POP
435,Shakespearova svatební komedie,"Hilský, Martin",1996,1996,SCI
436,Hamlet v českém divadle,"Přibyl, Daniel",2001,2001,SCI
437,Jak interpretovat drama,"Eco, Umberto",2004,2004,SCI
438,Mýtus o Sisyfovi,"Camus, Albert",1995,1995,SCI
439,Nástin ekumenické teologie,"Štampach, Odilo Ivan",1995,1995,SCI
440,Jürgen Habermas,"Horster, Detlef",1995,1995,SCI
441,Friedrich Nietzsche ve svých dílech,"Andreas-Salomé, Lou",1996,1996,SCI
442,René Descartes a české baroko,"Sousedík, Stanislav",1996,1996,SCI
443,Kapitoly o filosofii přírody,"Kamarýt, Jan",1997,1997,SCI
444,Předpotopní úvahy,"Kosík, Karel",1997,1997,SCI
445,Technologický úděl,"Salomon, Jean-Jacques",1997,1997,SCI
446,Člověk a příroda,"Ondok, Petr Josef",1998,1998,SCI
447,Hermeneutické pojetí zkušenosti,"Mokrejš, Antonín",1998,1998,SCI
448,Patent zvaný toleranční,"Melmuková, Eva",1999,1999,SCI
449,Vědění a láska,"Lotz, Johannes Baptist",1999,1999,SCI
450,Evropský duch,"Brunschvicg, Léon",2000,2000,SCI
451,Možnosti hodnotové etiky,"Hála, Vlastimil",2000,2000,SCI
452,Šifry transcendence,"Jaspers, Karl",2000,2000,SCI
453,Estetika 20. století,"Perniola, Mario",2000,2000,SCI
454,Metafyzické myšlenky,"Spinoza, Benedikt",2000,2000,SCI
455,Svět pojmů a logika,"Materna, Pavel",2000,1995,SCI
456,Interpretace a sociální kritika,"Walzer, Michael",2000,2000,SCI
457,Hoře a milost,"Kučera, Zdeněk",2001,2001,SCI
458,Studie k německé klasické filozofii,"Sobotka, Milan",2001,2001,SCI
459,Mezi vírou a racionalitou,"Funda, Otakar Antoň",2003,2003,SCI
460,Existencialismus je humanismus,"Sartre, Jean-Paul",2004,2004,SCI
461,Křesťanská vzdělanost,"Augustinus, Aurelius",2004,2004,SCI
462,Člověk a náboženství,"Špiner, Dušan",2006,2006,SCI
463,Základní fenomény lidského bytí očima filozofie,"Scherer, Georg",2007,2007,SCI
464,Tajné zasvěcení,"Minařík, Květoslav",1992,1992,POP
465,Taoismus,"Hartzová, Paula R.",1996,1996,POP
466,Bible nás učí modlitbě,"Vintrová, Martina",1997,1997,POP
467,Malá duchovní dobrodružství,"Hays, Edward",1997,1997,POP
468,Kdo je můj bližní?,"Augustyn, Józef",1997,1997,POP
469,Člověk jako mravní bytost,"Skoblík, Jiří",1997,1997,POP
470,Náboženství jako soukromá věc a jako veřejná záležitost,"Opatrný, Aleš",1997,1997,POP
471,Smrt v životě člověka,"Grün, Anselm",1997,1997,POP
472,"Sekty, kultury, alternativní náboženství","Barrett, David D.",1998,1998,POP
473,Proměňující moc víry,"Grün, Anselm",1998,1998,POP
474,V hlavní roli Nový zákon,"Sázava, Zdeněk",1998,1998,POP
475,Spása,"Minařík, Květoslav",1998,1992,POP
476,Slovo v našem nitru,"Souzenelle, Annick de - Mouttapa, Jean",2000,2000,POP
477,Světová náboženství,"Keene, Michael",2003,2003,POP
478,Manželství,"Graubner, Jan",2007,2007,POP
479,Manifest,"Russell, Stephen",2007,2007,POP
480,Osmá čakra,"Currivan, Jude",2007,2007,POP
481,Dva tisíce let dějin církve,"Fröhlich, Rolland",1999,1999,SCI
482,Svět středověkých gest,"Schmitt, Jean-Claude",2004,2004,SCI
483,Dějiny Irska,"Moody, Theodor W. - Martin, Francis X. (et al.)",1996,1996,POP
484,Osudové ženy,"Bělina, P. - Fidler, J. - Zahradníček, O.",1996,1996,POP
485,Říše a kolonie,"Cartier, M. - Almeida-Topor, H. d' - Datong, H. (et al.)",1996,1996,POP
486,Dějiny Slovenska,"Kováč, Dušan",1998,1998,POP
487,Dějiny Rumunska,"Treptow, Kurt W. (ed.)",1999,1999,POP
488,Dějiny Japonska,"Reischauer, Edwin - Craig, Albert M.",2000,2000,POP
489,Vzkříšení Olympie,"Zamarovský, Vojtěch",2003,1980,POP
490,Leonard Bernstein,"Secrest, Meryle",1996,1996,POP
491,Jazz,"Fordham, John",1996,1996,POP
492,Hudba a krásno,"Eggebrecht, Heinrich",2001,2001,POP
493,Modernisté,"Hilský, Martin",1995,1995,SCI
494,Poezie poslední možnosti,"Trávníček, Jiří",1996,1996,SCI
495,Zahrada ochočených slov,"Loucká, Pavla",2007,2007,POP
496,Věda a svědomí,"Morin, Edgar",1995,1995,SCI
497,Umění a kýč,"Kulka, Tomáš",1994,1994,SCI
498,K surrealismu,"Nádvorníková, Alena",1998,1998,SCI
499,Umění jako semiologický fakt,"Mukařovský, Jan",2000,1934,SCI
500,Kurs kresby,"Smith, Stan",1995,1995,POP
501,Nejkrásnější poklady civilizace,"Fyson, Nance",1996,1996,POP
502,Příběh umění,"Gombrich, E. H.",1997,1992,POP
503,Evropská integrace a bankovnictví,"Drdla, Miloš - Rais, Karel",1999,1999,POP
504,Jak mnohem lépe prodávat,"Tracy, Brian",1999,1999,POP
505,Jste dobrý šéf?,"Murphy, Emmett C.",1999,1999,POP
506,Interkontinentální levice,"Preisner, Rio",1992,1992,SCI
507,Smysl konzervatismu,"Scruton, Roger",1993,1993,SCI
508,Reforma OSN a zájmy České republiky,"Khol, R. - Kovačič, J. - Lebeda, P.",1998,1998,SCI
509,Liberalismus,"Gray, John",1999,1999,SCI
510,Základy politologie,"Prorok, Vladimír - Lisa, Aleš",1999,1999,SCI
511,Budoucnost svobody,"Zakaria, Fareed",2005,2004,SCI
512,Demokracie v Polsku,"Kubát, Michal",2005,2005,SCI
513,Encyklopedie diplomacie,"Hubinger, Václav",2006,2006,SCI
514,O čem Stalin věděl,"Murphy, David E.",2008,2008,SCI
515,Zotročený duch,"Milosz, Czeslaw",1992,1992,POP
516,Velké bitvy 2. světové války,"MacDonald, John",1995,1995,POP
517,Ponorky ve válce,"Vat, Dan van der",1997,1997,POP
518,Válka v evropské historii,"Howard, Michael",1997,1997,POP
519,Nebát se a nekrást?,"Mandler, Emanuel",1998,1998,POP
520,Průvodce občana Evropskou unií,"Greger, Petr",1999,1999,POP
521,Ve službách Třetí říše,"Tejchman, Miroslav",1999,1999,POP
522,Bitva o Guadalcanal,"Griffith, Samuel B.",2001,1970,POP
523,Ikeova poslední bitva,"Whiting, Charles",2004,2004,POP
524,Demokracie a ústavnost,"Kunc, Jiří (ed.)",1999,1996,SCI
525,Kouzla kriminalistiky,"Machutová, Marcela - Stavěl, Radoslav",1996,1996,POP
526,Příhody soudního patologa,"Bankl, Hans",2003,2003,POP
527,Bojiště zítřka,"Dunningan, James F.",2004,2004,POP
528,Životní cyklus rozšířený a dokončený,"Erikson, Erik H.",1999,1999,SCI
529,Podoby násilí v rodině,"Gjuričová, Šárka - Kocourková, J. - Koutek, J.",2000,2000,SCI
530,Brněnská škola celostní a tvarové psychologie,"Förster, Josef - Plháková, Alena",2004,2004,SCI
531,Jak rozvíjet inteligenci svého dítěte,"Gruber, David",1993,1993,POP
532,Partnerské vztahy,"Peseschkian, Nossrat",1995,1995,POP
533,Lidské pudy a emoce,"Šimek, Jiří",1995,1995,POP
534,Freud,"Storr, Anthony",1996,1996,POP
535,Jung,"Stevens, Anthony",1996,1996,POP
536,Pozitivní stres,"Birkenbihlová, Vera F.",1996,1996,POP
537,Testy osobnosti,"Lauster, Peter",1996,1994,POP
538,Astrologický průvodce k dobré kondici,"Shawová, Eva",1997,1997,POP
539,Čtyřbarevný člověk,"Lüscher, Max",1997,1997,POP
540,Podnikatelská etiketa,"Durcklová, Jacqueline",1997,1997,POP
541,Cesta k vnitřnímu klidu,"Lauster, Peter",1997,1997,POP
542,Numerologie v praxi,"Škach, Vladimír",1997,1997,POP
543,Já se z těch rodičů zblázním,"Vedralová, Joyce",1997,1997,POP
544,S vlky výti,"Berg, Wolfhart",1997,1997,POP
545,Čtení z ruky,"Reidová, Lori",1998,1998,POP
546,Jak milovat a být milován,"Hauck, Paul",1998,1998,POP
547,Rukověť správného chlapa,"Barry, Dave",1998,1998,POP
548,Poznej sám sebe,"Maťha, Miroslav",2000,2000,POP
549,Feng-šuej pro život,"Too, Lillian",2001,2001,POP
550,"Král, válečník, kouzelník, milovník","Moore, Robert - Gillette, Douglas",2001,2001,POP
551,"Člověče, neboj se","Ellis, Albert",2001,2001,POP
552,Jak přežít pubertu,"Bauman, Lawrence - Rich, Robert",2001,2001,POP
553,Desatero sebevědomých žen,"Nuberová, Ursula",2002,2002,POP
554,Poznej sám sebe i druhé,"Wirth, Bernhard P.",2002,2002,POP
555,Jen láska je skutečná,"Weiss, Brian Leslie",2007,2007,POP
556,Jste opravdu šťastní?,"Berger, Barbara",2008,2008,POP
557,Příručka pro zoufalé matky,"Mitchellová, Allison",2008,2008,POP
558,Úvahy o postmoderní době,"Bauman, Zygmunt",1995,1995,SCI
559,Sociální stát,"Večeřa, Miloš",1996,1993,SCI
560,Důsledky modernity,"Giddens, Anthony",1998,1998,SCI
561,Mytologie,"Barthes, Roland",2004,2004,SCI
562,K hříchu i k modlitbě,"Lenderová, Milena",1999,1999,POP
563,Marihuana 2000,"Doležal, Jiří X.",2000,2000,POP
564,Typ a účes,"Bolz, Elke",1994,1994,POP
565,Výrobky z kůže,"Prošková, Iva - Křivánková, Ivana",1994,1994,POP
566,Přírodní kosmetika od hlavy k patě,"Schapelweinová, Edith",1995,1995,POP
567,Svatba,"Regalová, Markéta",1995,1995,POP
568,Evropské góly,"Herfurt, Ivan",1996,1996,POP
569,Bylinková kuchařka,"Hurley, Judith Benn",1996,1996,POP
570,Vaříme v mikrovlné troubě 101 praktických rad,"Brownová, Sarah",1996,1996,POP
571,Jak vařit těstoviny,"Willanová, Anne",1996,1996,POP
572,Zavařování sladké a pikantní,Y,1996,1996,POP
573,Hvězdy NHL včera i dnes,"Stránský, Jiří - Ondroušek, Kamil",1997,1997,POP
574,Pružné tělo,"Blacková, Sara",1997,1997,POP
575,Obložené stoly z celého světa,"Vergne, Blanche",1998,1998,POP
576,Šijeme doma,"Gordonová, Magie McCormick",1998,1998,POP
577,Co se vaří v našich krajích,"Vašát, Jaroslav",1998,1998,POP
578,"Cukety, patizony, tykve, zeleninové saláty","Machovská, Danuše",1999,1999,POP
579,Hry v přírodě,"Wilkesová, Angela",1999,1999,POP
580,Pečeme podle našich babiček,"Mahelová, Lenka - Dlapová, Barbara",1999,1999,POP
581,Španělská kuchyně,Y,1999,1995,POP
582,"Grilujeme, rožníme a zapékáme na chatách a chalupách","Dufek, Oldřich",2000,2000,POP
583,Konzervujeme ovoce a zeleninu tradičně i netradičně,"Höflerová, Jitka",2000,2000,POP
584,Houbařská kuchařka,"Höflerová, Jitka",2000,2000,POP
585,Abeceda rybaření,"Bailey, John",2000,2000,POP
586,Anti-aging,"Oberbeil, Klaus - Rahn-Huberová, Ulla",2001,2001,POP
587,Kuchařka babičky Chadimové,"Chadima, Ivan",2001,2001,POP
588,Chceš být krásná?,"Marquardtová, Antonie - Springerová, Petra - Riegerová, Birgit",2002,2002,POP
589,Léčíme se čínskými čaji,"Wu, Runjin - Haaseová, Erika Alice",2003,2003,POP
590,Cvičíme s malým míčem,"Hambrechtová, K. - Gerstnerová-Mühlecková, I.",2003,2003,POP
591,Kniha o medovině,"Dupal, Libor",2004,1997,POP
592,Rodinné stříbro,"Skopová, Kamila",2005,2005,POP
593,Když dítě nechce spát,"Prekopová, Jiřina",1997,1997,POP
594,Proč jsou šťastné děti šťastné,"Biddulph, Steve",1997,1997,POP
595,Superlearning 2000,"Ostrangerová, Sheila - Schroederová, Lynn - Ostrangerová, Nancy",2000,2000,POP
596,Roztomilé malé příšerky,"Tiodorović, Irena",2005,1994,POP
597,Akvaristika,"Hanel, Lubomír",1995,1995,SCI
598,Etologie,"Franck, Dierk",1996,1996,SCI
599,Dějiny české zoologie,"Opatrný, Evžen - Petruška, František",1998,1998,SCI
600,O pohlavním výběru,"Darwin, Charles",2005,2005,SCI
601,O zániku druhů,"Raup, David M.",1995,1995,POP
602,Rozmanitost života,"Wilson, Edward Osborne",1995,1995,POP
603,"Bobulovité, užitkové a léčivé rostliny","Grau, Jürke - Jung, Reinhard - Münker, Bertram",1996,1996,POP
604,Ptáci v ZOO,"Kůs, Evžen",1996,1996,POP
605,Zvířata kolem nás,"Riha, Susanne",1996,1996,POP
606,Zvířata Evropy,"Anděra, Miloš",1996,1996,POP
607,Amatérský přírodovědec,"Durrell, Gerald - Durrell, Lee",1997,1997,POP
608,Moderní užitková zahrada,"Pavordová, Anna",1997,1997,POP
609,Zvířata Asie,"Anděra, Miloš",1998,1998,POP
610,Zvířata Jižní Ameriky,"Dobroruka, Luděk",1998,1998,POP
611,Pole a louky,"Reichholf, Josef",1999,1999,POP
612,Psi,"Bielfeld, Horst",1999,1999,POP
613,O vědcích a vejcích,"Slack, J. M. W.",2001,2001,POP
614,Tajemný život delfínů,"Paccalet, Yves",2005,2005,POP
615,Biologické hodiny rostlin,"Kolář, Jan",2006,2006,POP
616,Masožravé rostliny,"Studnička, Miloslav",2006,2006,POP
617,Šelmy,"Lyon, Derek",2007,2007,POP
618,"Makrosvět, mikrosvět a lidská mysl","Penrose, Roger",1999,1999,SCI
619,Mikroskopie skenující sondou,"Kubínek, Roman - Vůjtek, Milan - Mašláň, Miroslav",2003,2003,SCI
620,"Nebe, řád a chaos","Verdet, Jean-Pierre",1997,1997,POP
621,Sova a vesmír,"Koukolík, František - Koubský, Pavel",1999,1999,POP
622,Odhalená tajemství Slunce,"Kippenhahn, Rudolf",1999,1999,POP
623,Čarodějná pec,"Chown, Marcus",2005,2005,POP
624,Kosmologie do vesty,"Kippenhahn, Rudolf",2005,2005,POP
625,Exoplanety,"Pokorný, Zdeněk",2007,2007,POP
626,Dějiny zeměměřictví a pozemkových úprav v Čechách a na Moravě v kontextu světového vývoje,"Maršíková, Magdalena - Maršík, Zbyněk",2007,2007,SCI
627,Podivuhodné přírodní úkazy,"Štoll, Ivan",1998,1998,POP
628,Tibet,"Uhlig, Helmut",2002,2002,POP
629,"Soutoky řek na území Čech, Moravy a Slezska","Ryšánek, Vít",2006,2006,POP
630,Malá doba ledová,"Fagan, Brian",2007,2007,POP
631,Analýza vod,"Tomášek, Vladimír",1997,1997,SCI
632,Obecná epidemiologie,"Göpfertová, D. - Šejda, J.",1993,1993,SCI
633,Jak nehubnout hloupě,"Guérineau, Bertrand",1994,1994,POP
634,Zdravi na talíři,"Gumowska, Irena",1994,1994,POP
635,Batolata,"Matějček, Z. - Pokorná, M.",1995,1995,POP
636,Máme děťátko,"Schuttová, Karin",1995,1995,POP
637,Proti bolestem bez léků,"Exel, Wolfgang",1996,1996,POP
638,Dospívám v ženu,"Cyran, Wolfgang",1997,1997,POP
639,Historie medicíny,"Duin, Nancy",1997,1997,POP
640,Moc a nemoc medicíny,"Hořejší, Jaroslav",1998,1998,POP
641,Nedoslýchavost,"Hroboň, Miroslav (et al.)",1998,1998,POP
642,Víno,"Jones, Frank",1998,1998,POP
643,Vitaminy a minerály v kostce,"Sullivanová, Karen",1998,1998,POP
644,Pražské špitály a nemocnice,"Svobodný, Petr - Hlaváčková, Ludmila",1999,1999,POP
645,Proč stárneme,"Austad, N. Steven",1999,1999,POP
646,Abeceda pro alergiky a pro třetinu naší populace,"Zavázal, Vladimír",2000,2000,POP
647,Partner u porodu,"Simkinová, Penny",2000,2000,POP
648,Jak ulevit bolesti,"McLaughlinová, Chris",2001,2001,POP
649,Základy vědecké práce ve farmacii a v medicíně,"Višňovský, Peter (et al.)",2001,2001,POP
650,Co mám vědět o sexu,"Petrovićová, Jasminka",2005,2005,POP
651,Špinavé ruce,"Nuland, Sherwin B",2005,2005,POP
652,Antibiotický paradox,"Levy, Stuart B.",2007,2007,POP
653,Homeopatie od A do Z,"Wautersová, Ambika",2007,2007,POP
654,O lásce a sexu,"Janouchová, Kateřina",2007,2007,POP
655,Léčivá moc smíchu,"Nešpor, Karel",2007,2002,POP
656,Erotická masáž,"Hathaway, Charla",2008,2008,POP
657,Bydlí s námi suchozemská želva,"Anděrová, Romana",1996,1996,POP
658,Exotické ptactvo,"Alderton, David",1997,1997,POP
659,Bydlí s námi myška,"Motyčka, Vladimír",1997,1997,POP
660,Bydlí s námi hmyz,"Pecina, Pavel",1999,1999,POP
661,Umění degustace,"Casamyor, Pierre",2004,2004,POP
662,Matematika do vesty,"Beutelspacher, Albrecht",2005,2005,POP
663,Statistika do vesty,"Krämer, Walterf",2005,2005,POP
664,Zasažen bleskem,"Rosenthal, Jeffrey S.",2008,2008,POP
665,Hlavolamy z elektrotechniky,"Myslík, Jiří",1996,1996,POP
666,Mamutí kniha techniky,"Macaulay, David",1996,1996,POP
667,Rekonstrukce a úpravy interiéru,"Fischer-Uhlig, Horst - Jeni, Kurt",1996,1996,POP
668,Krby a kachlová kamna,"Havaš, Peter - Institoris, Vladimír",1997,1997,POP
669,Vytápění netradičními zdroji tepla,"Dufka, Jaroslav",2003,2003,POP
670,"Rudné hornictví v Čechách, na Moravě a ve Slezsku","Majer, Jiří",2004,2004,POP
671,Modely a systémy,"Křemen, Jaromír",2007,2007,SCI
672,První kroky s počítačem,"Hlavenka, Jiří - Samšuk, Petr",1998,1994,POP
673,Bandité na informační dálnici,"Barret, Daniel J.",1999,1999,POP
674,Internet pro střední školy,"Baranovič, R. - Moravčíková, L. - Šnajder, L.",1999,1999,POP
675,Počátky Karmelu v Čechách,"Cetkovský, Gorazd (ed.)",1997,1997,SCI
676,Etika přerozdělování,"Jouvenel, Bertrand de",1998,1998,SCI
677,Etika zdravotní a sociální práce,"Goldmann, Radoslav - Cichá, Martina",2004,2004,SCI
678,Josefu Švejkovi je 30 miliónů let,"Koukolík, František",2002,2002,POP
679,Homo sapiens stupidus,"Koukolík, František",2003,2003,POP
680,Nedaleko nekonečna,"Punčochář, Miroslav",2004,2004,POP
681,Evropa snů a skutečností,"Kuras, Benjamin",2007,2007,POP
682,Kniha pro správné holky,"Foster, Juliana",2007,2007,POP
