,title,author,pubyear,first_published,txtype
64,Posmrtné paměti Bráse Cubase,"Machado de Assis, Joaquim Maria",1996,1996,NOV
65,"Muž, který měl rád psy","Chandler, Raymond",1996,1996,NOV
66,Osudná lehkomyslnost,"Merrimanová, Catherine",1996,1996,NOV
67,Poštovní úřad,"Bukowski, Charles",1996,1996,NOV
68,Pod skleněným zvonem,"Plathova, Sylvia",1996,1996,NOV
69,Třetí hlava,"Večeřa, Pavel",1996,1996,NOV
70,Král polí,"Singer, Isaac Bashevis",1996,1996,NOV
71,Srdcové eso,"Kludská, Dagmar",1996,1996,NOV
72,Svatyně,"Faulkner, William",1996,1996,NOV
73,"Tanec za jedna, matika za pět","Blobel, Brigitte",1996,1994,NOV
74,Drazí zesnulí,"Waugh, Evelyn",1996,1973,NOV
75,Pavučina,"Wyndham, John",1996,1996,NOV
76,Holistická detektivní kancelář Dirka Gentlyho,"Adams, Douglas",1997,1997,NOV
77,Útěky z bezpečí,"Bach, Richard",1997,1997,NOV
78,Soukromé rozhovory,"Bergman, Ingmar",1997,1997,NOV
79,Blade Runner,"Jeter, Kewin Wayne",1997,1997,NOV
80,Doktor na větvi,"Gordon, Richard",1997,1997,NOV
81,Dvojitý pohřeb,"Chase, James Hadley",1997,1997,NOV
82,Jak František kázal zvířatům,"Rotzette, Anton",1997,1988,NOV
83,Cit slečny Smilly pro sníh,"Hoeg, Peter",1997,1997,NOV
84,Čech jako poleno,"Kupka, S. Jiří",1997,1997,NOV
85,Žena a loutka,"Louys, Pierre",1997,1997,NOV
86,Ego,"Matoušek, Ivan",1997,1997,NOV
87,Místo pro lásku,"Blobel, Brigitte",1997,1997,NOV
88,Na cestě,"Kerouac, Jack",1997,1978,NOV
89,Padraikův zánik,"Nuska, Bohumil",1997,1997,NOV
90,Anglický pacient,"Ondaatje, Michael",1997,1997,NOV
91,Peklo v ráji,"Troska, Jan Matzal",1997,1941,NOV
92,Pochybnost,"Bartuška, Václav",1997,1997,NOV
93,Pornografie,"Gombrowicz, Witold",1997,1997,NOV
94,Řekneme to prezidentce?,"Archer, Jeffrey",1997,1997,NOV
95,Řeči pro pláč,"O'Brien, Flann",1997,1997,NOV
96,Reparátor,"Neff, Ondřej",1997,1997,NOV
97,Tunel,"Sábato, Ernesto",1997,1997,NOV
98,Neslušné odhalení,"Sharpe, Tom",1997,1997,NOV
99,Vlak do Santa Fé,"Jiráň, J. - Kaiser, O. - Lábus, J.",1997,1997,NOV
100,Zoufalství,"Nabokov, Vladimír Vladimirovič",1997,1997,NOV
101,Z hlubin,"Atwoodová, Margaret",1998,1998,NOV
102,Časotřesení,"Vonnegut, Kurt",1998,1998,NOV
103,Tiché dny v Clichy,"Miller, Henry",1998,1991,NOV
104,Oblíbená hra,"Cohen, Leonard",1998,1998,NOV
105,Golem,"Meyrink, Gustav",1998,1971,NOV
106,Jsem jen lehký hypochondr,"Macfarlane, Aidan - McPhersonová, Ann",1998,1998,NOV
107,Takový malý pejsek,"Pearceová, Philippa",1998,1998,NOV
108,Kráska a netvor,"Hájek, Pavel",1998,1998,NOV
109,Poslední tečka za Rukopisy,"Urban, Josef",1998,1998,NOV
110,"Kluci a holky, když jsou spolu","Saroyan, William",1998,1998,NOV
111,Tyran,"Szerb, Antal",1998,1998,NOV
112,Zaprodanci,"Morrell, David",1998,1998,NOV
113,Nepříjemnost v klubu Bellona,"Sayersová, Dorothy L.",1999,1999,NOV
114,Dobře utajená vražda,"Block, Lawrence",1999,1999,NOV
